"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty19109","Kossuth County, IA",0.3169
"cty31185","York County, NE",0.3161
"cty19001","Adair County, IA",0.3156
"cty51107","Loudoun County, VA",0.3154
"cty27149","Stevens County, MN",0.3146
"cty34037","Sussex County, NJ",0.3145
"cty17085","Jo Daviess County, IL",0.3145
"cty36047","Kings County, NY",0.3142
"cty30027","Fergus County, MT",0.3142
"cty31161","Sheridan County, NE",0.3133
"cty27161","Waseca County, MN",0.3131
"cty19059","Dickinson County, IA",0.3129
"cty34017","Hudson County, NJ",0.3124
"cty20171","Scott County, KS",0.3123
"cty40075","Kiowa County, OK",0.3122
"cty08021","Conejos County, CO",0.3121
"cty53023","Garfield County, WA",0.3119
"cty44009","Washington County, RI",0.3118
"cty38043","Kidder County, ND",0.3118
"cty31137","Phelps County, NE",0.3115
"cty51678","Lexington city, VA",0.3113
"cty56001","Albany County, WY",0.3109
"cty19147","Palo Alto County, IA",0.3105
"cty31173","Thurston County, NE",0.3102
"cty31105","Kimball County, NE",0.3086
"cty31165","Sioux County, NE",0.3076
"cty53075","Whitman County, WA",0.3073
"cty20017","Chase County, KS",0.3071
"cty31127","Nemaha County, NE",0.3067
"cty09001","Fairfield County, CT",0.3066
"cty42003","Allegheny County, PA",0.3065
"cty31097","Johnson County, NE",0.3064
"cty20051","Ellis County, KS",0.3063
"cty36001","Albany County, NY",0.3061
"cty29005","Atchison County, MO",0.306
"cty48393","Roberts County, TX",0.3057
"cty08009","Baca County, CO",0.3053
"cty40151","Woods County, OK",0.304
"cty56027","Niobrara County, WY",0.3037
"cty27173","Yellow Medicine County, MN",0.3033
"cty49051","Wasatch County, UT",0.3031
"cty38015","Burleigh County, ND",0.303
"cty25009","Essex County, MA",0.303
"cty31051","Dixon County, NE",0.3029
"cty48149","Fayette County, TX",0.3027
"cty23005","Cumberland County, ME",0.3024
"cty20091","Johnson County, KS",0.3021
"cty31041","Custer County, NE",0.3017
"cty26061","Houghton County, MI",0.3013
"cty42069","Lackawanna County, PA",0.3012
"cty19119","Lyon County, IA",0.3001
"cty49043","Summit County, UT",0.2995
"cty31021","Burt County, NE",0.2988
"cty51013","Arlington County, VA",0.2987
"cty30063","Missoula County, MT",0.2985
"cty19047","Crawford County, IA",0.2984
"cty38083","Sheridan County, ND",0.2982
"cty17079","Jasper County, IL",0.2976
"cty50023","Washington County, VT",0.2969
"cty54093","Tucker County, WV",0.2965
"cty31169","Thayer County, NE",0.2965
"cty37183","Wake County, NC",0.2964
"cty21185","Oldham County, KY",0.2963
"cty50005","Caledonia County, VT",0.2962
"cty48425","Somervell County, TX",0.2955
"cty06059","Orange County, CA",0.2946
"cty30083","Richland County, MT",0.2945
"cty19061","Dubuque County, IA",0.2943
"cty56023","Lincoln County, WY",0.2938
"cty19009","Audubon County, IA",0.2934
"cty19005","Allamakee County, IA",0.2927
"cty46069","Hyde County, SD",0.2922
"cty19189","Winnebago County, IA",0.2922
"cty40067","Jefferson County, OK",0.2917
"cty13309","Wheeler County, GA",0.2913
"cty42103","Pike County, PA",0.2906
"cty19037","Chickasaw County, IA",0.2903
"cty38059","Morton County, ND",0.2902
"cty25003","Berkshire County, MA",0.2902
"cty29019","Boone County, MO",0.2901
"cty51620","Franklin city, VA",0.2899
"cty42017","Bucks County, PA",0.2891
"cty06057","Nevada County, CA",0.289
"cty30031","Gallatin County, MT",0.2887
"cty38073","Ransom County, ND",0.2885
"cty42089","Monroe County, PA",0.2885
"cty19141","O'Brien County, IA",0.2885
"cty51570","Colonial Heights city, VA",0.2881
"cty30057","Madison County, MT",0.2881
"cty30089","Sanders County, MT",0.288
"cty21035","Calloway County, KY",0.288
"cty50015","Lamoille County, VT",0.2876
"cty55089","Ozaukee County, WI",0.2869
"cty38055","McLean County, ND",0.2867
"cty08003","Alamosa County, CO",0.2866
"cty49019","Grand County, UT",0.2865
"cty25007","Dukes County, MA",0.2864
"cty34039","Union County, NJ",0.2863
"cty48205","Hartley County, TX",0.2863
"cty54069","Ohio County, WV",0.2863
"cty16051","Jefferson County, ID",0.2859
"cty40045","Ellis County, OK",0.2859
"cty25023","Plymouth County, MA",0.2858
"cty19069","Franklin County, IA",0.2857
"cty47187","Williamson County, TN",0.2851
"cty08013","Boulder County, CO",0.2849
"cty16035","Clearwater County, ID",0.2843
"cty34031","Passaic County, NJ",0.2842
"cty51199","York County, VA",0.284
"cty20161","Riley County, KS",0.2838
"cty46007","Bennett County, SD",0.2837
"cty42129","Westmoreland County, PA",0.283
"cty42029","Chester County, PA",0.2827
"cty08065","Lake County, CO",0.2825
"cty41063","Wallowa County, OR",0.2822
"cty30049","Lewis and Clark County, MT",0.2818
"cty45013","Beaufort County, SC",0.2817
"cty34013","Essex County, NJ",0.2816
"cty13067","Cobb County, GA",0.2816
"cty48171","Gillespie County, TX",0.2813
"cty13135","Gwinnett County, GA",0.2812
"cty46105","Perkins County, SD",0.281
"cty41027","Hood River County, OR",0.2808
"cty20199","Wallace County, KS",0.2806
"cty36029","Erie County, NY",0.2805
"cty20167","Russell County, KS",0.2805
"cty30007","Broadwater County, MT",0.2804
"cty19103","Johnson County, IA",0.2803
"cty19027","Carroll County, IA",0.28
"cty20151","Pratt County, KS",0.28
"cty33003","Carroll County, NH",0.2796
"cty19101","Jefferson County, IA",0.2793
"cty29089","Howard County, MO",0.279
"cty46115","Spink County, SD",0.2785
"cty46077","Kingsbury County, SD",0.2781
"cty54007","Braxton County, WV",0.2779
"cty46097","Miner County, SD",0.2778
"cty19015","Boone County, IA",0.2776
"cty30093","Silver Bow County, MT",0.2774
"cty17009","Brown County, IL",0.2773
"cty33015","Rockingham County, NH",0.2771
"cty31099","Kearney County, NE",0.2769
"cty47137","Pickett County, TN",0.2768
"cty46011","Brookings County, SD",0.2768
"cty53055","San Juan County, WA",0.2767
"cty50007","Chittenden County, VT",0.2767
"cty21207","Russell County, KY",0.2764
"cty48023","Baylor County, TX",0.2762
"cty38089","Stark County, ND",0.276
"cty31045","Dawes County, NE",0.2759
"cty19065","Fayette County, IA",0.2756
"cty31033","Cheyenne County, NE",0.2752
"cty25025","Suffolk County, MA",0.2747
"cty28053","Humphreys County, MS",0.2747
"cty46047","Fall River County, SD",0.2746
"cty27101","Murray County, MN",0.2745
"cty46137","Ziebach County, SD",0.2744
"cty16081","Teton County, ID",0.2743
"cty31107","Knox County, NE",0.2741
"cty38067","Pembina County, ND",0.274
"cty44005","Newport County, RI",0.274
"cty27063","Jackson County, MN",0.2735
"cty20201","Washington County, KS",0.2735
"cty20049","Elk County, KS",0.2732
"cty48069","Castro County, TX",0.2728
"cty27087","Mahnomen County, MN",0.2725
"cty51125","Nelson County, VA",0.2723
"cty56015","Goshen County, WY",0.2721
"cty19169","Story County, IA",0.272
"cty28009","Benton County, MS",0.2719
"cty19079","Hamilton County, IA",0.2718
"cty19025","Calhoun County, IA",0.2718
"cty27043","Faribault County, MN",0.2717
"cty17185","Wabash County, IL",0.2708
"cty19089","Howard County, IA",0.2706
"cty41037","Lake County, OR",0.2705
"cty20181","Sherman County, KS",0.2702
"cty19035","Cherokee County, IA",0.2701
"cty12117","Seminole County, FL",0.2699
"cty27107","Norman County, MN",0.2697
"cty20119","Meade County, KS",0.2696
"cty06085","Santa Clara County, CA",0.2691
"cty29041","Chariton County, MO",0.2688
"cty30043","Jefferson County, MT",0.2683
"cty37055","Dare County, NC",0.2683
"cty20043","Doniphan County, KS",0.2683
"cty09009","New Haven County, CT",0.268
"cty06081","San Mateo County, CA",0.2677
"cty22103","St. Tammany Parish, LA",0.2676
"cty54055","Mercer County, WV",0.2676
"cty20007","Barber County, KS",0.2669
"cty36027","Dutchess County, NY",0.2668
"cty12073","Leon County, FL",0.2665
"cty38003","Barnes County, ND",0.2663
"cty19167","Sioux County, IA",0.266
"cty29165","Platte County, MO",0.2659
"cty37135","Orange County, NC",0.2659
"cty27133","Rock County, MN",0.2658
"cty40103","Noble County, OK",0.2657
"cty06001","Alameda County, CA",0.2657
"cty42079","Luzerne County, PA",0.2656
"cty56009","Converse County, WY",0.2656
"cty48085","Collin County, TX",0.265
"cty18057","Hamilton County, IN",0.265
"cty54083","Randolph County, WV",0.265
"cty25015","Hampshire County, MA",0.2649
"cty53043","Lincoln County, WA",0.2649
"cty48157","Fort Bend County, TX",0.2647
"cty20011","Bourbon County, KS",0.2646
"cty48093","Comanche County, TX",0.2646
"cty27089","Marshall County, MN",0.2645
"cty40039","Custer County, OK",0.2643
"cty46037","Day County, SD",0.2642
"cty48299","Llano County, TX",0.2642
"cty35059","Union County, NM",0.2637
"cty08069","Larimer County, CO",0.2634
"cty51750","Radford city, VA",0.2634
"cty31031","Cherry County, NE",0.2632
"cty36111","Ulster County, NY",0.2632
"cty30081","Ravalli County, MT",0.2629
"cty12001","Alachua County, FL",0.2627
"cty31159","Seward County, NE",0.2627
