"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty27151","Swift County, MN",0.2238
"cty51173","Smyth County, VA",0.2238
"cty53019","Ferry County, WA",0.2236
"cty17077","Jackson County, IL",0.2236
"cty20045","Douglas County, KS",0.2235
"cty12099","Palm Beach County, FL",0.2234
"cty26125","Oakland County, MI",0.2234
"cty33001","Belknap County, NH",0.2234
"cty21189","Owsley County, KY",0.2231
"cty51087","Henrico County, VA",0.223
"cty46015","Brule County, SD",0.2229
"cty42117","Tioga County, PA",0.2225
"cty20065","Graham County, KS",0.2225
"cty48255","Karnes County, TX",0.2223
"cty48047","Brooks County, TX",0.2223
"cty19157","Poweshiek County, IA",0.2223
"cty24013","Carroll County, MD",0.2218
"cty54013","Calhoun County, WV",0.2215
"cty17133","Monroe County, IL",0.2215
"cty17123","Marshall County, IL",0.2215
"cty29197","Schuyler County, MO",0.2214
"cty51185","Tazewell County, VA",0.2213
"cty19123","Mahaska County, IA",0.2213
"cty17027","Clinton County, IL",0.2212
"cty48215","Hidalgo County, TX",0.2211
"cty24005","Baltimore County, MD",0.221
"cty30047","Lake County, MT",0.2206
"cty27033","Cottonwood County, MN",0.2206
"cty31143","Polk County, NE",0.2205
"cty48333","Mills County, TX",0.2204
"cty12035","Flagler County, FL",0.2204
"cty35013","Do±íáüna County, NM",0.2202
"cty27091","Martin County, MN",0.2202
"cty21127","Lawrence County, KY",0.2202
"cty08075","Logan County, CO",0.2201
"cty27019","Carver County, MN",0.22
"cty05027","Columbia County, AR",0.22
"cty19121","Madison County, IA",0.2199
"cty47027","Clay County, TN",0.2198
"cty31029","Chase County, NE",0.2196
"cty30111","Yellowstone County, MT",0.2195
"cty28121","Rankin County, MS",0.2194
"cty48207","Haskell County, TX",0.2194
"cty06043","Mariposa County, CA",0.2193
"cty31037","Colfax County, NE",0.2193
"cty42101","Philadelphia County, PA",0.219
"cty06079","San Luis Obispo County, CA",0.2188
"cty20085","Jackson County, KS",0.2187
"cty29149","Oregon County, MO",0.2187
"cty08014","Broomfield County, CO",0.2185
"cty22051","Jefferson Parish, LA",0.2183
"cty48273","Kleberg County, TX",0.2183
"cty51043","Clarke County, VA",0.2182
"cty19197","Wright County, IA",0.218
"cty17189","Washington County, IL",0.218
"cty27123","Ramsey County, MN",0.2179
"cty19097","Jackson County, IA",0.2178
"cty42127","Wayne County, PA",0.2177
"cty08019","Clear Creek County, CO",0.2176
"cty31153","Sarpy County, NE",0.2175
"cty21073","Franklin County, KY",0.2175
"cty31067","Gage County, NE",0.2175
"cty51037","Charlotte County, VA",0.2175
"cty46083","Lincoln County, SD",0.2175
"cty42077","Lehigh County, PA",0.2173
"cty47087","Jackson County, TN",0.2173
"cty53069","Wahkiakum County, WA",0.2171
"cty29037","Cass County, MO",0.217
"cty20149","Pottawatomie County, KS",0.217
"cty28035","Forrest County, MS",0.2169
"cty16071","Oneida County, ID",0.2168
"cty23011","Kennebec County, ME",0.2166
"cty37119","Mecklenburg County, NC",0.2166
"cty27121","Pope County, MN",0.2166
"cty18131","Pulaski County, IN",0.2166
"cty48121","Denton County, TX",0.2165
"cty01037","Coosa County, AL",0.2165
"cty17113","McLean County, IL",0.2165
"cty24033","Prince George's County, MD",0.2164
"cty16049","Idaho County, ID",0.2164
"cty35055","Taos County, NM",0.2162
"cty40029","Coal County, OK",0.216
"cty13283","Treutlen County, GA",0.216
"cty27027","Clay County, MN",0.2159
"cty34007","Camden County, NJ",0.2159
"cty37037","Chatham County, NC",0.2156
"cty24009","Calvert County, MD",0.2154
"cty02122","Kenai Peninsula Borough, AK",0.2153
"cty24029","Kent County, MD",0.2153
"cty34041","Warren County, NJ",0.2152
"cty46043","Douglas County, SD",0.2151
"cty08071","Las Animas County, CO",0.2151
"cty17175","Stark County, IL",0.2151
"cty17095","Knox County, IL",0.215
"cty46005","Beadle County, SD",0.215
"cty48381","Randall County, TX",0.2149
"cty08007","Archuleta County, CO",0.2149
"cty22089","St. Charles Parish, LA",0.2149
"cty39083","Knox County, OH",0.2149
"cty38057","Mercer County, ND",0.2148
"cty49049","Utah County, UT",0.2146
"cty22093","St. James Parish, LA",0.2146
"cty06045","Mendocino County, CA",0.2145
"cty21001","Adair County, KY",0.2145
"cty36117","Wayne County, NY",0.2145
"cty20093","Kearny County, KS",0.2144
"cty27103","Nicollet County, MN",0.2143
"cty06097","Sonoma County, CA",0.2142
"cty42007","Beaver County, PA",0.2142
"cty22047","Iberville Parish, LA",0.2141
"cty31055","Douglas County, NE",0.214
"cty31023","Butler County, NE",0.214
"cty17037","DeKalb County, IL",0.2139
"cty47091","Johnson County, TN",0.2139
"cty37063","Durham County, NC",0.2138
"cty42095","Northampton County, PA",0.2138
"cty45089","Williamsburg County, SC",0.2138
"cty46073","Jerauld County, SD",0.2138
"cty42019","Butler County, PA",0.2138
"cty36037","Genesee County, NY",0.2136
"cty48265","Kerr County, TX",0.2136
"cty48151","Fisher County, TX",0.2135
"cty28071","Lafayette County, MS",0.2135
"cty27055","Houston County, MN",0.2135
"cty28105","Oktibbeha County, MS",0.2135
"cty16063","Lincoln County, ID",0.2134
"cty55073","Marathon County, WI",0.2133
"cty27047","Freeborn County, MN",0.2133
"cty30067","Park County, MT",0.2131
"cty27061","Itasca County, MN",0.2126
"cty31053","Dodge County, NE",0.2126
"cty35047","San Miguel County, NM",0.2125
"cty40013","Bryan County, OK",0.2124
"cty40119","Payne County, OK",0.2124
"cty26089","Leelanau County, MI",0.2122
"cty48143","Erath County, TX",0.2122
"cty20139","Osage County, KS",0.2121
"cty54071","Pendleton County, WV",0.212
"cty21205","Rowan County, KY",0.212
"cty22055","Lafayette Parish, LA",0.2119
"cty46013","Brown County, SD",0.2118
"cty50013","Grand Isle County, VT",0.2118
"cty42027","Centre County, PA",0.2117
"cty29153","Ozark County, MO",0.2115
"cty48479","Webb County, TX",0.2115
"cty46053","Gregory County, SD",0.2114
"cty41051","Multnomah County, OR",0.2113
"cty08105","Rio Grande County, CO",0.2113
"cty28001","Adams County, MS",0.2112
"cty15003","Honolulu County, HI",0.211
"cty54039","Kanawha County, WV",0.2108
"cty05129","Searcy County, AR",0.2108
"cty51810","Virginia Beach city, VA",0.2104
"cty06023","Humboldt County, CA",0.2103
"cty06111","Ventura County, CA",0.2103
"cty01081","Lee County, AL",0.2103
"cty39011","Auglaize County, OH",0.2103
"cty26071","Iron County, MI",0.2102
"cty46135","Yankton County, SD",0.2101
"cty46111","Sanborn County, SD",0.2101
"cty18101","Martin County, IN",0.21
"cty19041","Clay County, IA",0.2099
"cty08045","Garfield County, CO",0.2098
"cty38049","McHenry County, ND",0.2098
"cty55065","Lafayette County, WI",0.2098
"cty37137","Pamlico County, NC",0.2096
"cty20197","Wabaunsee County, KS",0.2096
"cty51840","Winchester city, VA",0.2093
"cty05043","Drew County, AR",0.2093
"cty25005","Bristol County, MA",0.2092
"cty36105","Sullivan County, NY",0.2089
"cty09011","New London County, CT",0.2087
"cty49011","Davis County, UT",0.2087
"cty40027","Cleveland County, OK",0.2085
"cty28021","Claiborne County, MS",0.2085
"cty54005","Boone County, WV",0.2084
"cty51063","Floyd County, VA",0.2084
"cty36019","Clinton County, NY",0.2083
"cty21071","Floyd County, KY",0.2083
"cty42049","Erie County, PA",0.2082
"cty55025","Dane County, WI",0.2081
"cty29011","Barton County, MO",0.2081
"cty38005","Benson County, ND",0.2079
"cty20207","Woodson County, KS",0.2079
"cty23001","Androscoggin County, ME",0.2077
"cty12109","St. Johns County, FL",0.2075
"cty06049","Modoc County, CA",0.2074
"cty13297","Walton County, GA",0.2073
"cty34001","Atlantic County, NJ",0.2071
"cty42051","Fayette County, PA",0.2071
"cty51103","Lancaster County, VA",0.2068
"cty48017","Bailey County, TX",0.2067
"cty39133","Portage County, OH",0.2066
"cty55035","Eau Claire County, WI",0.2065
"cty46101","Moody County, SD",0.2064
"cty29077","Greene County, MO",0.2064
"cty28089","Madison County, MS",0.2064
"cty27111","Otter Tail County, MN",0.2063
"cty42037","Columbia County, PA",0.2063
"cty29147","Nodaway County, MO",0.2063
"cty19021","Buena Vista County, IA",0.2062
"cty54053","Mason County, WV",0.2062
"cty04005","Coconino County, AZ",0.2061
"cty55007","Bayfield County, WI",0.2061
"cty50019","Orleans County, VT",0.2061
"cty49027","Millard County, UT",0.2061
"cty26103","Marquette County, MI",0.2059
"cty29087","Holt County, MO",0.2059
"cty39153","Summit County, OH",0.2058
"cty30023","Deer Lodge County, MT",0.2058
"cty27025","Chisago County, MN",0.2058
"cty21015","Boone County, KY",0.2058
"cty37067","Forsyth County, NC",0.2057
"cty40053","Grant County, OK",0.2057
"cty05103","Ouachita County, AR",0.2056
"cty19163","Scott County, IA",0.2055
"cty41005","Clackamas County, OR",0.2055
"cty17203","Woodford County, IL",0.2054
"cty28163","Yazoo County, MS",0.2054
"cty05097","Montgomery County, AR",0.2052
"cty28065","Jefferson Davis County, MS",0.2052
"cty08109","Saguache County, CO",0.2051
"cty28049","Hinds County, MS",0.2051
"cty51149","Prince George County, VA",0.2051
"cty21013","Bell County, KY",0.2051
"cty05119","Pulaski County, AR",0.2048
"cty06113","Yolo County, CA",0.2047
"cty45043","Georgetown County, SC",0.2047
"cty21079","Garrard County, KY",0.2047
"cty21229","Washington County, KY",0.2047
"cty06061","Placer County, CA",0.2045
"cty36013","Chautauqua County, NY",0.2044
"cty36089","St. Lawrence County, NY",0.2043
"cty26037","Clinton County, MI",0.2043
"cty17181","Union County, IL",0.2042
"cty56033","Sheridan County, WY",0.2042
"cty40137","Stephens County, OK",0.2041
"cty26109","Menominee County, MI",0.204
"cty41039","Lane County, OR",0.2039
"cty12103","Pinellas County, FL",0.2038
"cty20107","Linn County, KS",0.2038
"cty22105","Tangipahoa Parish, LA",0.2038
"cty01031","Coffee County, AL",0.2037
"cty37021","Buncombe County, NC",0.2035
"cty28073","Lamar County, MS",0.2033
"cty19171","Tama County, IA",0.2032
"cty21043","Carter County, KY",0.2032
"cty39063","Hancock County, OH",0.2031
"cty12009","Brevard County, FL",0.2029
"cty39061","Hamilton County, OH",0.2028
"cty45079","Richland County, SC",0.2027
"cty55063","La Crosse County, WI",0.2025
"cty06011","Colusa County, CA",0.2025
"cty17023","Clark County, IL",0.2024
"cty48091","Comal County, TX",0.2022
"cty42065","Jefferson County, PA",0.2022
"cty16029","Caribou County, ID",0.2021
"cty48079","Cochran County, TX",0.2021
"cty20029","Cloud County, KS",0.2021
"cty27049","Goodhue County, MN",0.202
"cty53063","Spokane County, WA",0.2019
"cty22095","St. John the Baptist Parish, LA",0.2019
"cty42097","Northumberland County, PA",0.2019
"cty19187","Webster County, IA",0.2018
"cty36053","Madison County, NY",0.2017
"cty26131","Ontonagon County, MI",0.2016
"cty05077","Lee County, AR",0.2016
"cty48483","Wheeler County, TX",0.2015
"cty01117","Shelby County, AL",0.2014
"cty26093","Livingston County, MI",0.2011
"cty50017","Orange County, VT",0.2011
"cty39165","Warren County, OH",0.2009
"cty15001","Hawaii County, HI",0.2009
"cty49053","Washington County, UT",0.2008
"cty37121","Mitchell County, NC",0.2008
"cty27073","Lac qui Parle County, MN",0.2008
"cty48491","Williamson County, TX",0.2006
"cty19085","Harrison County, IA",0.2006
"cty46121","Todd County, SD",0.2005
"cty21021","Boyle County, KY",0.2005
"cty56013","Fremont County, WY",0.2004
"cty49029","Morgan County, UT",0.2004
"cty19145","Page County, IA",0.2004
"cty18037","Dubois County, IN",0.2003
"cty42031","Clarion County, PA",0.2003
"cty27153","Todd County, MN",0.2002
"cty37103","Jones County, NC",0.2002
"cty51127","New Kent County, VA",0.2001
"cty19175","Union County, IA",0.1999
"cty29091","Howell County, MO",0.1999
"cty01003","Baldwin County, AL",0.1998
"cty08119","Teller County, CO",0.1996
"cty26063","Huron County, MI",0.1996
"cty18171","Warren County, IN",0.1996
"cty32015","Lander County, NV",0.1994
"cty55051","Iron County, WI",0.1994
"cty22061","Lincoln Parish, LA",0.1993
"cty36017","Chenango County, NY",0.1993
"cty13073","Columbia County, GA",0.1993
"cty20077","Harper County, KS",0.1992
"cty29205","Shelby County, MO",0.1991
"cty29061","Daviess County, MO",0.199
"cty26041","Delta County, MI",0.1989
"cty46061","Hanson County, SD",0.1989
"cty50011","Franklin County, VT",0.1988
"cty51097","King and Queen County, VA",0.1988
"cty48169","Garza County, TX",0.1988
"cty27109","Olmsted County, MN",0.1987
"cty17187","Warren County, IL",0.1987
"cty18031","Decatur County, IN",0.1986
"cty33005","Cheshire County, NH",0.1986
"cty27119","Polk County, MN",0.1984
"cty19023","Butler County, IA",0.1983
"cty48211","Hemphill County, TX",0.1983
"cty19125","Marion County, IA",0.1982
"cty45029","Colleton County, SC",0.1982
"cty48159","Franklin County, TX",0.1981
"cty48357","Ochiltree County, TX",0.198
"cty51830","Williamsburg city, VA",0.1978
"cty17177","Stephenson County, IL",0.1978
"cty26099","Macomb County, MI",0.1977
"cty30017","Custer County, MT",0.1977
"cty46035","Davison County, SD",0.1976
"cty22071","Orleans Parish, LA",0.1976
"cty55117","Sheboygan County, WI",0.1976
"cty33017","Strafford County, NH",0.1976
"cty28005","Amite County, MS",0.1976
"cty27037","Dakota County, MN",0.1975
"cty51153","Prince William County, VA",0.1975
"cty29111","Lewis County, MO",0.1975
"cty18011","Boone County, IN",0.1974
"cty42085","Mercer County, PA",0.1974
"cty46099","Minnehaha County, SD",0.1973
"cty13147","Hart County, GA",0.1973
"cty38081","Sargent County, ND",0.1973
"cty50003","Bennington County, VT",0.1972
"cty45053","Jasper County, SC",0.1972
"cty06017","El Dorado County, CA",0.1971
"cty20177","Shawnee County, KS",0.197
"cty25011","Franklin County, MA",0.197
"cty54109","Wyoming County, WV",0.197
"cty21195","Pike County, KY",0.1968
"cty29161","Phelps County, MO",0.1967
"cty51031","Campbell County, VA",0.1967
"cty34033","Salem County, NJ",0.1966
"cty19029","Cass County, IA",0.1965
"cty12115","Sarasota County, FL",0.1964
"cty41017","Deschutes County, OR",0.1964
"cty23013","Knox County, ME",0.1964
"cty28031","Covington County, MS",0.1962
"cty56043","Washakie County, WY",0.1961
"cty48053","Burnet County, TX",0.1961
"cty29227","Worth County, MO",0.1961
"cty21157","Marshall County, KY",0.1961
"cty46109","Roberts County, SD",0.196
"cty06083","Santa Barbara County, CA",0.1959
"cty32027","Pershing County, NV",0.1959
"cty45075","Orangeburg County, SC",0.1959
"cty51001","Accomack County, VA",0.1959
"cty54029","Hancock County, WV",0.1958
"cty16031","Cassia County, ID",0.1958
"cty29135","Moniteau County, MO",0.1956
"cty36033","Franklin County, NY",0.1955
"cty48473","Waller County, TX",0.1953
"cty22021","Caldwell Parish, LA",0.1953
"cty21007","Ballard County, KY",0.1953
"cty54033","Harrison County, WV",0.1952
"cty39123","Ottawa County, OH",0.195
"cty01091","Marengo County, AL",0.1949
"cty19131","Mitchell County, IA",0.1947
"cty41029","Jackson County, OR",0.1946
"cty06067","Sacramento County, CA",0.1946
"cty18089","Lake County, IN",0.1945
"cty36121","Wyoming County, NY",0.1945
"cty37139","Pasquotank County, NC",0.1944
"cty50001","Addison County, VT",0.1944
"cty24035","Queen Anne's County, MD",0.1942
"cty31017","Brown County, NE",0.1942
"cty40071","Kay County, OK",0.1941
"cty46129","Walworth County, SD",0.194
"cty12127","Volusia County, FL",0.194
"cty21087","Green County, KY",0.194
"cty39055","Geauga County, OH",0.194
"cty48477","Washington County, TX",0.194
"cty08083","Montezuma County, CO",0.1939
"cty06027","Inyo County, CA",0.1937
"cty17049","Effingham County, IL",0.1936
"cty36025","Delaware County, NY",0.1935
"cty30077","Powell County, MT",0.1935
"cty05137","Stone County, AR",0.1934
"cty55013","Burnett County, WI",0.1931
"cty40005","Atoka County, OK",0.1931
"cty48221","Hood County, TX",0.1931
"cty45019","Charleston County, SC",0.193
"cty35001","Bernalillo County, NM",0.1928
"cty21111","Jefferson County, KY",0.1928
"cty27131","Rice County, MN",0.1928
"cty53071","Walla Walla County, WA",0.1928
"cty38071","Ramsey County, ND",0.1927
"cty28159","Winston County, MS",0.1927
"cty31087","Hitchcock County, NE",0.1927
"cty37015","Bertie County, NC",0.1926
"cty12091","Okaloosa County, FL",0.1924
"cty17145","Perry County, IL",0.1924
"cty15007","Kauai County, HI",0.1924
"cty20013","Brown County, KS",0.1922
"cty08089","Otero County, CO",0.1922
"cty42013","Blair County, PA",0.1921
"cty05069","Jefferson County, AR",0.1921
"cty51067","Franklin County, VA",0.1918
"cty55055","Jefferson County, WI",0.1918
"cty40009","Beckham County, OK",0.1916
"cty37113","Macon County, NC",0.1916
"cty51790","Staunton city, VA",0.1916
"cty31109","Lancaster County, NE",0.1915
"cty37081","Guilford County, NC",0.1915
"cty40017","Canadian County, OK",0.1915
"cty48041","Brazos County, TX",0.1915
"cty20063","Gove County, KS",0.1912
"cty48343","Morris County, TX",0.1912
"cty08055","Huerfano County, CO",0.1911
"cty42081","Lycoming County, PA",0.1911
"cty53073","Whatcom County, WA",0.191
"cty47103","Lincoln County, TN",0.1908
"cty06007","Butte County, CA",0.1907
"cty40123","Pontotoc County, OK",0.1907
"cty45051","Horry County, SC",0.1906
"cty27113","Pennington County, MN",0.1906
"cty20157","Republic County, KS",0.1905
"cty21075","Fulton County, KY",0.1902
"cty37191","Wayne County, NC",0.1901
"cty37083","Halifax County, NC",0.19
"cty08093","Park County, CO",0.19
"cty19013","Black Hawk County, IA",0.19
"cty26031","Cheboygan County, MI",0.1899
"cty20003","Anderson County, KS",0.1899
"cty05017","Chicot County, AR",0.1898
"cty51075","Goochland County, VA",0.1897
"cty53067","Thurston County, WA",0.1896
"cty21203","Rockcastle County, KY",0.1896
"cty21125","Laurel County, KY",0.1894
"cty46123","Tripp County, SD",0.1892
"cty55015","Calumet County, WI",0.1892
"cty28067","Jones County, MS",0.1891
"cty17153","Pulaski County, IL",0.1891
"cty08085","Montrose County, CO",0.189
"cty51019","Bedford County, VA",0.189
"cty13191","McIntosh County, GA",0.1888
"cty28019","Choctaw County, MS",0.1887
"cty51720","Norton city, VA",0.1887
"cty54077","Preston County, WV",0.1887
"cty13205","Mitchell County, GA",0.1886
"cty08043","Fremont County, CO",0.1885
"cty20015","Butler County, KS",0.1884
"cty20109","Logan County, KS",0.1884
"cty01035","Conecuh County, AL",0.1884
"cty46019","Butte County, SD",0.1884
"cty48095","Concho County, TX",0.1882
"cty24041","Talbot County, MD",0.1881
"cty19113","Linn County, IA",0.188
"cty19067","Floyd County, IA",0.188
"cty48401","Rusk County, TX",0.1879
"cty06033","Lake County, CA",0.1878
"cty48297","Live Oak County, TX",0.1878
"cty28061","Jasper County, MS",0.1877
"cty48043","Brewster County, TX",0.1877
"cty51021","Bland County, VA",0.1875
"cty51135","Nottoway County, VA",0.1875
"cty06089","Shasta County, CA",0.1874
"cty29209","Stone County, MO",0.1874
"cty48003","Andrews County, TX",0.1873
"cty45037","Edgefield County, SC",0.1872
"cty54021","Gilmer County, WV",0.1871
"cty45027","Clarendon County, SC",0.1869
"cty39155","Trumbull County, OH",0.1868
"cty28133","Sunflower County, MS",0.1868
"cty26017","Bay County, MI",0.1866
"cty48485","Wichita County, TX",0.1865
"cty30065","Musselshell County, MT",0.1865
"cty19185","Wayne County, IA",0.1863
"cty39157","Tuscarawas County, OH",0.1862
"cty45063","Lexington County, SC",0.1861
"cty28087","Lowndes County, MS",0.1861
"cty17197","Will County, IL",0.186
"cty13201","Miller County, GA",0.186
"cty51550","Chesapeake city, VA",0.1859
"cty26065","Ingham County, MI",0.1859
"cty26081","Kent County, MI",0.1858
"cty02170","Matanuska-Susitna Borough, AK",0.1858
"cty18007","Benton County, IN",0.1858
"cty40083","Logan County, OK",0.1857
"cty19091","Humboldt County, IA",0.1857
"cty13099","Early County, GA",0.1856
"cty55125","Vilas County, WI",0.1856
"cty46029","Codington County, SD",0.1855
"cty55011","Buffalo County, WI",0.1852
"cty27041","Douglas County, MN",0.1852
"cty05113","Polk County, AR",0.1851
"cty12095","Orange County, FL",0.1851
"cty29137","Monroe County, MO",0.1851
"cty27015","Brown County, MN",0.1851
"cty47041","DeKalb County, TN",0.185
"cty18129","Posey County, IN",0.185
"cty36031","Essex County, NY",0.185
"cty48209","Hays County, TX",0.1848
"cty48061","Cameron County, TX",0.1848
"cty18047","Franklin County, IN",0.1848
"cty29173","Ralls County, MO",0.1848
"cty47093","Knox County, TN",0.1847
"cty22117","Washington Parish, LA",0.1847
"cty22073","Ouachita Parish, LA",0.1847
"cty55091","Pepin County, WI",0.1847
"cty24021","Frederick County, MD",0.1845
"cty28083","Leflore County, MS",0.1845
"cty48303","Lubbock County, TX",0.1844
"cty05107","Phillips County, AR",0.1844
"cty49025","Kane County, UT",0.1844
"cty17131","Mercer County, IL",0.1844
"cty45017","Calhoun County, SC",0.1841
"cty54015","Clay County, WV",0.1841
"cty48441","Taylor County, TX",0.184
"cty23003","Aroostook County, ME",0.184
"cty39027","Clinton County, OH",0.184
"cty18155","Switzerland County, IN",0.184
"cty26139","Ottawa County, MI",0.1839
"cty20031","Coffey County, KS",0.1839
"cty36115","Washington County, NY",0.1839
"cty19019","Buchanan County, IA",0.1838
"cty47037","Davidson County, TN",0.1837
"cty19053","Decatur County, IA",0.1837
"cty47109","McNairy County, TN",0.1837
"cty47065","Hamilton County, TN",0.1836
"cty20027","Clay County, KS",0.1836
"cty42041","Cumberland County, PA",0.1836
"cty39057","Greene County, OH",0.1833
"cty05121","Randolph County, AR",0.1833
"cty17191","Wayne County, IL",0.1833
"cty02016","Aleutians West Census Area, AK",0.1832
"cty29039","Cedar County, MO",0.1832
"cty12061","Indian River County, FL",0.1831
"cty21017","Bourbon County, KY",0.183
"cty36009","Cattaraugus County, NY",0.1828
"cty39173","Wood County, OH",0.1828
"cty08041","El Paso County, CO",0.1827
"cty04025","Yavapai County, AZ",0.1826
"cty13153","Houston County, GA",0.1825
"cty28137","Tate County, MS",0.1825
"cty13291","Union County, GA",0.1825
"cty35028","Los Alamos County, NM",0.1824
"cty18063","Hendricks County, IN",0.1823
"cty37099","Jackson County, NC",0.1822
"cty05051","Garland County, AR",0.1822
"cty13177","Lee County, GA",0.1822
"cty23019","Penobscot County, ME",0.182
"cty37061","Duplin County, NC",0.182
"cty16059","Lemhi County, ID",0.182
"cty20127","Morris County, KS",0.182
"cty27169","Winona County, MN",0.1818
"cty51121","Montgomery County, VA",0.1817
"cty37199","Yancey County, NC",0.1817
"cty13115","Floyd County, GA",0.1816
"cty54011","Cabell County, WV",0.1814
"cty01045","Dale County, AL",0.1814
"cty54037","Jefferson County, WV",0.1814
"cty18157","Tippecanoe County, IN",0.1814
"cty42015","Bradford County, PA",0.1813
"cty51009","Amherst County, VA",0.1813
"cty29117","Livingston County, MO",0.1812
"cty41035","Klamath County, OR",0.1809
"cty17001","Adams County, IL",0.1809
"cty13187","Lumpkin County, GA",0.1808
"cty48203","Harrison County, TX",0.1806
"cty45045","Greenville County, SC",0.1805
"cty13275","Thomas County, GA",0.1805
"cty22077","Pointe Coupee Parish, LA",0.1804
"cty16019","Bonneville County, ID",0.1803
"cty29113","Lincoln County, MO",0.1803
"cty13159","Jasper County, GA",0.1803
"cty19137","Montgomery County, IA",0.1803
"cty13299","Ware County, GA",0.1802
"cty19117","Lucas County, IA",0.1802
"cty35049","Santa Fe County, NM",0.1801
"cty54075","Pocahontas County, WV",0.1801
"cty01063","Greene County, AL",0.1801
"cty48435","Sutton County, TX",0.1801
"cty37125","Moore County, NC",0.1801
"cty29065","Dent County, MO",0.18
"cty55071","Manitowoc County, WI",0.18
"cty29055","Crawford County, MO",0.1798
"cty01047","Dallas County, AL",0.1796
"cty17151","Pope County, IL",0.1795
"cty29047","Clay County, MO",0.1793
"cty39149","Shelby County, OH",0.1793
"cty51700","Newport News city, VA",0.1792
"cty31145","Red Willow County, NE",0.1792
"cty37143","Perquimans County, NC",0.1791
"cty55023","Crawford County, WI",0.179
"cty31049","Deuel County, NE",0.1789
"cty41023","Grant County, OR",0.1789
"cty55093","Pierce County, WI",0.1788
"cty17071","Henderson County, IL",0.1787
"cty13279","Toombs County, GA",0.1786
"cty31111","Lincoln County, NE",0.1786
"cty01025","Clarke County, AL",0.1785
"cty36011","Cayuga County, NY",0.1783
"cty55097","Portage County, WI",0.1783
"cty19115","Louisa County, IA",0.1783
"cty17035","Cumberland County, IL",0.1782
"cty02020","Anchorage Municipality, AK",0.1781
"cty16043","Fremont County, ID",0.178
"cty20111","Lyon County, KS",0.178
"cty37051","Cumberland County, NC",0.1779
"cty06055","Napa County, CA",0.1779
"cty29163","Pike County, MO",0.1779
"cty40139","Texas County, OK",0.1779
"cty06025","Imperial County, CA",0.1778
"cty24001","Allegany County, MD",0.1777
"cty26077","Kalamazoo County, MI",0.1776
"cty42083","McKean County, PA",0.1776
"cty22083","Richland Parish, LA",0.1776
"cty19195","Worth County, IA",0.1776
"cty35023","Hidalgo County, NM",0.1774
"cty37031","Carteret County, NC",0.1773
"cty12071","Lee County, FL",0.1772
"cty39049","Franklin County, OH",0.1771
"cty19095","Iowa County, IA",0.1771
"cty48395","Robertson County, TX",0.177
"cty31003","Antelope County, NE",0.177
"cty01123","Tallapoosa County, AL",0.177
"cty51520","Bristol city, VA",0.177
"cty48051","Burleson County, TX",0.1769
"cty37091","Hertford County, NC",0.1769
"cty21145","McCracken County, KY",0.1768
"cty27017","Carlton County, MN",0.1767
"cty31151","Saline County, NE",0.1767
"cty27013","Blue Earth County, MN",0.1767
"cty45071","Newberry County, SC",0.1767
"cty55021","Columbia County, WI",0.1764
"cty41053","Polk County, OR",0.1763
"cty40141","Tillman County, OK",0.1763
"cty39037","Darke County, OH",0.1763
"cty36021","Columbia County, NY",0.1763
"cty48201","Harris County, TX",0.1762
"cty31001","Adams County, NE",0.1762
"cty53029","Island County, WA",0.1761
"cty29175","Randolph County, MO",0.1761
"cty40143","Tulsa County, OK",0.176
"cty27171","Wright County, MN",0.176
"cty27137","St. Louis County, MN",0.1759
"cty27079","Le Sueur County, MN",0.1759
"cty27071","Koochiching County, MN",0.1759
"cty47105","Loudon County, TN",0.1758
"cty39013","Belmont County, OH",0.1755
"cty53025","Grant County, WA",0.1754
"cty02130","Ketchikan Gateway Borough, AK",0.1754
"cty48119","Delta County, TX",0.1754
"cty53061","Snohomish County, WA",0.1753
"cty51650","Hampton city, VA",0.1752
"cty24025","Harford County, MD",0.1752
"cty13085","Dawson County, GA",0.1752
"cty42005","Armstrong County, PA",0.1752
"cty55049","Iowa County, WI",0.175
"cty49037","San Juan County, UT",0.1749
"cty56005","Campbell County, WY",0.1749
"cty35007","Colfax County, NM",0.1748
"cty01015","Calhoun County, AL",0.1746
"cty05117","Prairie County, AR",0.1746
"cty39067","Harrison County, OH",0.1746
"cty17083","Jersey County, IL",0.1746
"cty21235","Whitley County, KY",0.1746
"cty18003","Allen County, IN",0.1745
"cty18127","Porter County, IN",0.1745
"cty29079","Grundy County, MO",0.1745
"cty40047","Garfield County, OK",0.1744
"cty08077","Mesa County, CO",0.1743
"cty46117","Stanley County, SD",0.1742
"cty48499","Wood County, TX",0.1741
"cty05127","Scott County, AR",0.1741
"cty36051","Livingston County, NY",0.1741
"cty13023","Bleckley County, GA",0.174
"cty30097","Sweet Grass County, MT",0.1739
"cty21037","Campbell County, KY",0.1739
"cty26145","Saginaw County, MI",0.1738
"cty48323","Maverick County, TX",0.1738
"cty18049","Fulton County, IN",0.1737
"cty39151","Stark County, OH",0.1735
"cty20173","Sedgwick County, KS",0.1735
"cty39125","Paulding County, OH",0.1735
"cty27163","Washington County, MN",0.1734
"cty21025","Breathitt County, KY",0.1734
"cty29027","Callaway County, MO",0.1734
"cty27085","McLeod County, MN",0.1733
"cty01011","Bullock County, AL",0.1733
"cty48125","Dickens County, TX",0.1732
